name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Moscow,Russia",2023-01-01T00:00:00,0.4,-3.8,0,97.08,0,0,,0,29.2,28.4,14.4,175,1012.8,91.5,8.2,0,0,0,10,Overcast,cloudy,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-01T01:00:00,0.4,-4.1,0,97.08,0,0,,0,29.1,28.1,16,184,1012,91.5,5.9,0,0,0,10,Overcast,cloudy,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-01T02:00:00,1,-3.6,0,93.03,0,0,freezingrain,0,29,28.1,17.4,186,1011.4,91.5,6.2,0,0,0,10,Overcast,cloudy,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-01T03:00:00,1,-3.9,0,93.03,0,0,snow,0,29,27.7,19.7,195,1010.8,98,4.3,0,0,0,10,Overcast,cloudy,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-01T04:00:00,1,-3.8,0,93.03,0,0,,0,28.8,26.6,18.9,187,1009.8,100,5.4,0,0,0,10,Overcast,cloudy,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-01T05:00:00,1,-3.6,0,93.03,0,0,,0,28.7,26.6,17.4,192,1008.8,100,10,0,0,0,10,Overcast,cloudy,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-01T06:00:00,1,-3.6,0,93.03,0.1,100,"rain,snow",0,28.6,24.5,17.4,185,1008.2,100,9.2,0,0,0,10,"Snow, Rain, Overcast",rain,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-01T07:00:00,1,-3.6,0.6,97.09,0.5,100,rain,0,28.4,23,17.4,197,1007.6,100,6.3,0,0,0,10,"Rain, Overcast",rain,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-01T08:00:00,1,-3.8,0.6,97.09,0.2,100,rain,0,28.3,23.8,18.9,193,1006.8,100,8,0,0,0,10,"Rain, Overcast",rain,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-01T09:00:00,1,-3.7,1,100,0.1,100,"rain,snow",0,27.8,24.8,18.3,202,1006.6,100,5.8,0,0,0,10,"Snow, Rain, Overcast",rain,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-01T10:00:00,1.2,-3.5,1,98.79,0,0,,0,27.7,29.5,18.3,202,1005.8,100,5,2,0,0,10,Overcast,cloudy,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-01T11:00:00,2,-2.1,1.6,97.11,0,0,,0,27.5,30.6,15.9,213,1005.6,100,4.5,14,0.1,0,10,Overcast,cloudy,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-01T12:00:00,2,-2.2,1.6,97.11,0.2,100,rain,0,27.3,30.2,16.5,212,1004.8,100,4,20,0.1,0,10,"Rain, Overcast",rain,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-01T13:00:00,2.2,-2.3,2,98.8,0.1,100,rain,0,27.2,28.4,18.9,227,1004.2,100,5.7,6,0,0,10,"Rain, Overcast",rain,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-01T14:00:00,2.6,-1.6,2.2,97.06,0.2,100,rain,0,27.1,27.7,17.4,226,1003.6,100,9.6,6,0,0,10,"Rain, Overcast",rain,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-01T15:00:00,3,-1.1,2.6,97.14,0.1,100,rain,0,26.9,28.4,17.4,222,1002.8,100,9.6,3,0,0,10,"Rain, Overcast",rain,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-01T16:00:00,3,-1.1,2.6,97.14,0,0,rain,0,26.7,27.7,17.4,222,1002.6,100,5.3,1,0,0,10,Overcast,cloudy,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-01T17:00:00,3.4,-0.6,3,97.08,0.2,100,rain,0,26.5,29.2,17.4,222,1001.8,100,6.9,0,0,0,10,"Rain, Overcast",rain,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-01T18:00:00,3.6,-0.8,3,95.92,0,0,,0,26.2,31.3,20.4,227,1001.8,100,6.9,0,0,0,10,Overcast,cloudy,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-01T19:00:00,4,-0.5,3.6,97.16,0,0,rain,0,26,33.1,22.5,226,1000.8,100,5.1,0,0,0,10,Overcast,cloudy,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-01T20:00:00,4.6,0.2,3.6,93.23,0,0,rain,0,25.7,36,23.1,223,1000.6,100,4.3,0,0,0,10,Overcast,cloudy,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-01T21:00:00,4.6,0.1,4.6,100,0.1,100,rain,0,25.3,34.6,23.7,233,1000.2,100,6.1,0,0,0,10,"Rain, Overcast",rain,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-01T22:00:00,5.2,0.9,4.6,95.97,0,0,rain,0,25,35.3,23.1,240,999.8,100,6.9,0,0,0,10,Overcast,cloudy,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-01T23:00:00,5.2,0.8,4.6,95.97,0.2,100,rain,0,24.7,30.6,24.6,250,999.8,100,8.3,0,0,0,10,"Rain, Overcast",rain,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-02T00:00:00,6,2.1,5,93.3,0.6,100,rain,0,24.4,28.4,21.6,260,1000.6,95.3,7.6,0,0,0,10,"Rain, Overcast",rain,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-02T01:00:00,4.7,1.2,3.7,93.23,1,100,rain,0,24.1,24.8,16.5,284,1000.2,90.8,10,0,0,0,10,"Rain, Overcast",rain,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-02T02:00:00,4.2,1.1,3.2,93.2,0.5,100,rain,0,23.9,25.9,12.9,293,1000,95.3,9,0,0,0,10,"Rain, Overcast",rain,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-02T03:00:00,2.3,-2,1.3,93.11,0.8,100,snow,0,23.6,32,17.8,320,1001.4,95.3,9.4,0,0,0,10,"Snow, Overcast",rain,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-02T04:00:00,1.6,-3.2,0.6,93.06,0,0,,0,23.4,31,20.1,309,1003.4,100,10,0,0,0,10,Overcast,cloudy,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-02T05:00:00,1.6,-3.7,0.6,93.06,0,0,,0,23.3,33.1,23.7,292,1004.6,98,10,0,0,0,10,Overcast,cloudy,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-02T06:00:00,1.6,-4.5,-0.4,86.56,0,0,,0,23.2,40,30.6,323,1006.2,93.4,10,0,0,0,10,Overcast,cloudy,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-02T07:00:00,1,-4.6,-1,86.5,0,0,,0,23.1,43.9,25.2,283,1007.6,77.5,10,0,0,0,10,Partially cloudy,partly-cloudy-night,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-02T08:00:00,0,-5.9,-1.8,87.48,0,0,,0,22.9,41,24.6,290,1008.6,66.2,10,0,0,0,10,Partially cloudy,partly-cloudy-night,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-02T09:00:00,0,-6.2,-2.8,81.31,0,0,,0,22,41.8,27.1,284,1009.6,60.2,10,0,0,0,10,Partially cloudy,partly-cloudy-day,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-02T10:00:00,-0.4,-6.7,-3.4,80.17,0,0,,0,22,43.2,27.3,286,1011.2,67,10,19,0.1,0,10,Partially cloudy,partly-cloudy-day,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-02T11:00:00,-0.4,-6.9,-4,76.71,0,0,,0,22,43.9,28.8,278,1011.8,67.1,10,87,0.3,1,10,Partially cloudy,partly-cloudy-day,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-02T12:00:00,0,-6.2,-4,74.46,0,0,,0,22,43.2,27.9,265,1012.6,64.2,10,141,0.5,1,10,Partially cloudy,partly-cloudy-day,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-02T13:00:00,0,-6.1,-5,69.06,0,0,,0,22,43.5,27.1,286,1013.6,61.3,10,162,0.6,2,10,Partially cloudy,partly-cloudy-day,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-02T14:00:00,0,-6.5,-5,69.06,0,0,,0,22,46.8,30,282,1014.6,50.1,10,146,0.5,1,10,Partially cloudy,partly-cloudy-day,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-02T15:00:00,-0.4,-6.7,-5,71.14,0,0,,0,21.8,40,27.1,275,1015.2,28.2,10,94,0.3,1,10,Partially cloudy,partly-cloudy-day,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-02T16:00:00,-0.6,-6.9,-5,72.03,0,0,,0,21.8,37.4,27.3,269,1016,3.1,10,24,0.1,0,10,Clear,clear-day,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-02T17:00:00,-1.4,-7.9,-5,76.54,0,0,,0,21.8,36.4,26.7,268,1016.6,0,10,0,0,0,10,Clear,clear-night,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-02T18:00:00,-1.6,-7.8,-5,77.5,0,0,,0,21.8,34.9,23.7,265,1016.8,0,10,0,0,0,10,Clear,clear-night,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-02T19:00:00,-2,-8.2,-5,79.93,0,0,,0,21.8,34.6,23.1,263,1017.6,1.1,10,0,0,0,10,Clear,clear-night,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-02T20:00:00,-2.4,-8.7,-6,76.37,0,0,,0,21.8,33.1,22.5,259,1017.6,11.5,10,0,0,0,10,Clear,clear-night,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-02T21:00:00,-3.4,-9.5,-6,82.26,0,0,,0,21.8,30.2,19.7,255,1017.6,22.4,10,0,0,0,10,Partially cloudy,partly-cloudy-night,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-02T22:00:00,-3.6,-9.2,-6,83.31,0,0,,0,21.8,28.4,16.8,257,1017.6,42.9,10,0,0,0,10,Partially cloudy,partly-cloudy-night,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-02T23:00:00,-4,-9.8,-6.4,83.32,0,0,,0,21.8,25.2,17.4,253,1017.6,77.1,10,0,0,0,10,Partially cloudy,partly-cloudy-night,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-03T00:00:00,-3.6,-9.1,-6,83.31,0,0,,0,21.8,23,16.3,235,1017.6,100,10,0,0,0,10,Overcast,cloudy,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-03T01:00:00,-3.4,-8.7,-5.6,84.93,0,0,,0,21.8,20.9,15.3,243,1017.2,98.8,10,0,0,0,10,Overcast,cloudy,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-03T02:00:00,-3,-7.3,-5.4,83.44,0,0,,0,21.8,16.2,11.7,234,1016.6,100,10,0,0,0,10,Overcast,cloudy,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-03T03:00:00,-3,-6.6,-5,86.08,0,0,,0,21.8,14.4,9.1,196,1015.6,100,10,0,0,0,10,Overcast,cloudy,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-03T04:00:00,-3,-6.9,-5,86.08,0,0,snow,12.1,21.8,14.4,10.2,214,1014.6,100,10,0,0,0,10,Overcast,cloudy,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-03T05:00:00,-3,-5.7,-5,86.08,0,0,snow,0,21.8,14.4,6.6,165,1013.6,96.5,10,0,0,0,10,Overcast,cloudy,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-03T06:00:00,-3,-6.5,-4.4,89.99,0,0,snow,0.1,21.8,15.8,8.7,176,1012.2,100,4.7,0,0,0,10,Overcast,cloudy,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-03T07:00:00,-3,-7,-3.8,93.99,0.4,100,snow,0.3,22.1,17.6,10.2,120,1011.2,100,1,0,0,0,10,"Snow, Overcast",snow,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-03T08:00:00,-2.6,-7,-3,97,1.2,100,snow,0.9,23,16.6,12.3,122,1009.2,100,1.6,0,0,0,10,"Snow, Overcast",snow,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-03T09:00:00,-2,-6.8,-3,92.86,1.2,100,snow,1,23.5,23.4,14.4,115,1008.2,95.5,1.6,0,0,0,10,"Snow, Overcast",snow,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-03T10:00:00,-2,-7.1,-3,92.86,0,0,snow,0,24.6,23.4,15.9,112,1007,95.5,4.2,5,0,0,10,Overcast,cloudy,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-03T11:00:00,-1.4,-6.2,-2,95.75,1.1,100,snow,0.8,25.4,24.5,15.3,122,1005.6,95.5,4.1,12,0,0,10,"Snow, Overcast",snow,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-03T12:00:00,-1,-5.7,-1.8,94.09,1.2,100,snow,0.8,26.2,23.4,15.3,125,1004.2,95.5,2.8,12,0,0,10,"Snow, Overcast",snow,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-03T13:00:00,-0.4,-4.2,-1.4,92.95,0.6,100,snow,0.2,26.1,20.9,11.7,142,1003.2,95.5,3,11,0,0,10,"Snow, Overcast",snow,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-03T14:00:00,-0.4,-3.2,-0.4,100,1.1,100,freezingrain,0.1,26.1,15.8,8.1,160,1002.2,100,2.5,6,0,0,10,"Freezing Drizzle/Freezing Rain, Overcast",snow,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-03T15:00:00,0.4,-2.3,-0.4,94.16,0.4,100,"rain,snow",0,25.8,19.4,8.1,212,1001.6,100,2.6,3,0,0,10,"Snow, Rain, Overcast",rain,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-03T16:00:00,1.6,-2.4,1.2,97.1,0,0,rain,0,25.8,27.7,14.7,250,1001.2,100,4.4,2,0,0,10,Overcast,cloudy,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-03T17:00:00,2.6,-2,1.6,93.12,0,0,,0,25.6,27.4,20.4,266,1001.2,79.5,9.2,0,0,0,10,Partially cloudy,partly-cloudy-night,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-03T18:00:00,2.6,-2.1,1.6,93.12,0.1,100,rain,0,25.5,25.6,21.4,270,1001.2,79.5,9.8,0,0,0,10,"Rain, Partially cloudy",rain,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-03T19:00:00,2.6,-1.9,1.6,93.12,0,0,rain,0,25.3,29.2,19.5,243,1000.8,79.5,10,0,0,0,10,Partially cloudy,partly-cloudy-night,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-03T20:00:00,2.6,-2,1.2,90.35,0.3,100,snow,0,25.2,33.5,20.1,233,1000.6,69.7,10,0,0,0,10,"Snow, Partially cloudy",rain,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-03T21:00:00,2.6,-2.2,1,89.26,0.3,100,rain,0,25.1,32,21.6,230,999.8,74.8,10,0,0,0,10,"Rain, Partially cloudy",rain,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-03T22:00:00,2.2,-2.7,1,91.97,0,0,snow,0,24.9,37.8,21.6,232,999.2,95.5,9.6,0,0,0,10,Overcast,cloudy,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-03T23:00:00,2,-3.7,0.2,87.67,0.1,100,snow,0,24.7,36.7,28.2,260,999.6,100,10,0,0,0,10,"Snow, Overcast",rain,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-04T00:00:00,1.2,-4.8,0,91.9,0.4,100,snow,0,24.6,42.1,28.2,301,999.6,95.3,8.9,0,0,0,10,"Snow, Overcast",rain,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-04T01:00:00,1,-5,-0.8,87.58,0.1,100,"rain,snow",0,24.4,40.3,28.8,272,999.8,100,5.6,0,0,0,10,"Snow, Rain, Overcast",rain,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-04T02:00:00,0.4,-5.3,-0.8,91.38,0.2,100,snow,0,24.4,39.6,24.6,278,1000.6,74.8,7.8,0,0,0,10,"Snow, Partially cloudy",rain,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-04T03:00:00,-0.4,-6.9,-1.3,94.12,0.1,100,snow,0.1,24.1,37.4,29,315,1001.2,100,6.7,0,0,0,10,"Snow, Overcast",snow,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-04T04:00:00,-1.2,-7.3,-2.7,90.13,0,0,snow,0,24.1,36,23.8,315,1002.4,74.8,6.6,0,0,0,10,Partially cloudy,partly-cloudy-night,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-04T05:00:00,-2.3,-9.3,-4.4,85.06,0.1,100,snow,0.1,24.2,46.8,29.4,346,1004.8,100,10,0,0,0,10,"Snow, Overcast",snow,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-04T06:00:00,-2.4,-9.8,-4.8,83.45,0.1,100,snow,0,24.2,37.8,31.5,357,1006.4,95.5,9.7,0,0,0,10,"Snow, Overcast",snow,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-04T07:00:00,-2.8,-9.5,-5,85,0.1,100,snow,0,24.2,39.6,24.6,347,1008,100,10,0,0,0,10,"Snow, Overcast",snow,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-04T08:00:00,-3.4,-10.6,-5.4,86.03,0,0,,0,24.2,36.4,27.6,346,1009,95.3,10,0,0,0,10,Overcast,cloudy,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-04T09:00:00,-3.4,-10.6,-6,82.26,0,0,,0,22.7,34.9,27.3,342,1010,95.3,10,0,0,0,10,Overcast,cloudy,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-04T10:00:00,-3.4,-10.1,-5.6,84.93,0,0,,0,22.7,41.3,23.7,323,1011.2,100,10,16,0.1,0,10,Overcast,cloudy,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-04T11:00:00,-4.4,-11.2,-6.8,83.2,0,0,,0,22.7,29.9,22.2,334,1012.2,100,10,70,0.3,1,10,Overcast,cloudy,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-04T12:00:00,-4,-10.2,-6.2,84.86,0,0,,0,22.7,25.9,19.3,326,1013,100,10,121,0.4,1,10,Overcast,cloudy,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-04T13:00:00,-4,-9.9,-6.4,83.32,0,0,,0,22.7,27,18,322,1013,98,10,154,0.6,2,10,Overcast,cloudy,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-04T14:00:00,-3.8,-10,-7.4,76.18,0,0,,0,22.7,27.4,19.5,293,1012.6,98,10,142,0.5,1,10,Overcast,cloudy,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-04T15:00:00,-4,-9.6,-6.6,82.24,0,0,,0,22.7,27,16.3,279,1012.6,98,10,93,0.3,1,10,Overcast,cloudy,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-04T16:00:00,-4,-10.5,-7,79.63,0,0,,0,22.7,27.7,21.6,272,1012.6,98,10,27,0.1,0,10,Overcast,cloudy,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-04T17:00:00,-4,-9.6,-6.4,83.32,0,0,,0,22.7,24.5,16.5,273,1012.6,98,10,0,0,0,10,Overcast,cloudy,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-04T18:00:00,-3.6,-8.2,-6,83.31,0,0,,0,22.7,14,12.3,235,1011.8,98,10,0,0,0,10,Overcast,cloudy,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-04T19:00:00,-3.4,-8,-5.6,84.93,0,0,,0,22.7,19.8,12.3,234,1010.8,95.3,9.2,0,0,0,10,Overcast,cloudy,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-04T20:00:00,-3.4,-8.4,-5,88.74,0,0,snow,0,22.7,21.2,13.8,222,1009.8,95.3,5.8,0,0,0,10,Overcast,cloudy,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-04T21:00:00,-3,-9.5,-4.6,88.85,0.2,100,snow,0.2,22.9,22.3,22.8,282,1008.8,95.5,2.7,0,0,0,10,"Snow, Overcast",snow,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-04T22:00:00,-2.6,-8.6,-4,89.96,0.1,100,snow,0.2,23.1,27.4,20.4,242,1008.6,90.8,7.5,0,0,0,10,"Snow, Overcast",snow,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-04T23:00:00,-2,-7.6,-4,86.18,0.1,100,snow,0.1,23.1,30.2,18.9,246,1007.8,100,10,0,0,0,10,"Snow, Overcast",snow,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-05T00:00:00,-2,-8.2,-4.2,85.09,0.1,100,snow,0.1,23.2,29.2,23.1,255,1007.6,90.8,6.6,0,0,0,10,"Snow, Overcast",snow,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-05T01:00:00,-2.6,-9.3,-4.6,86.12,0.4,100,snow,0.3,23.5,30.6,25.2,259,1007.2,94.5,5.9,0,0,0,10,"Snow, Overcast",snow,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-05T02:00:00,-3,-9.4,-4.6,88.78,0.1,100,snow,0.1,23.6,30.2,22.5,257,1006.8,93.3,6.6,0,0,0,10,"Snow, Overcast",snow,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-05T03:00:00,-3.4,-9.2,-5.4,86.03,0.1,100,snow,0,23.4,28.4,17.8,286,1006.6,72.8,9.6,0,0,0,10,"Snow, Partially cloudy",snow,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-05T04:00:00,-3.4,-9.2,-5.4,86.03,0,0,snow,0,23.4,28.4,18,278,1006.2,63.5,9.2,0,0,0,10,Partially cloudy,partly-cloudy-night,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-05T05:00:00,-3.4,-8.6,-5.3,87.15,0.1,100,snow,0,23.4,25.2,15,278,1006.2,66,9.6,0,0,0,10,"Snow, Partially cloudy",snow,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-05T06:00:00,-3.8,-8.7,-5.2,89.93,0,0,snow,0,23.4,20.2,12.9,316,1006,72.8,8.6,0,0,0,10,Partially cloudy,partly-cloudy-night,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-05T07:00:00,-4.4,-9,-5.8,89.88,0,0,snow,0.1,23.4,16.9,11.4,347,1005.2,88.6,6.5,0,0,0,10,Partially cloudy,partly-cloudy-night,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-05T08:00:00,-4.4,-8.4,-6.4,85.92,0,0,snow,0.1,23.3,16.6,9.3,348,1005,74.8,6.6,0,0,0,10,Partially cloudy,partly-cloudy-night,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-05T09:00:00,-5,-7.5,-6.8,86.98,0,0,snow,0.1,24.7,18.7,5.5,330,1005,90.8,7.4,0,0,0,10,Overcast,cloudy,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-05T10:00:00,-5.4,-9.1,-7.3,86.94,0,0,snow,0,24.7,13,8.1,356,1005,95.3,8.1,17,0.1,0,10,Overcast,cloudy,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-05T11:00:00,-5.4,-9.1,-7.7,84.23,0.1,100,snow,0.1,24.8,18.7,8,335,1005,90.8,6,61,0.2,1,10,"Snow, Overcast",snow,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-05T12:00:00,-5.8,-11.4,-7.7,86.9,0,0,,0,24.8,19.8,14.4,19,1004.4,90.8,7.9,105,0.4,1,10,Overcast,cloudy,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-05T13:00:00,-5.8,-10.9,-8.2,83.08,0,0,,0,24.8,20.5,12.3,40,1004,35.8,10,140,0.5,1,10,Partially cloudy,partly-cloudy-day,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-05T14:00:00,-5.8,-11.7,-9.1,77.87,0,0,,0,24.8,22,15.3,26,1003.6,92.1,10,134,0.5,1,10,Overcast,cloudy,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-05T15:00:00,-6.8,-10.9,-10.3,76.25,0,0,,0,24.8,23,8.3,13,1005.4,82.7,16.7,85,0.3,1,10,Partially cloudy,partly-cloudy-day,"27612099999,UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-05T16:00:00,-6.8,-13.3,-9.8,79.19,0,0,,0,24.8,23,17.4,37,1003.6,72.8,9.6,28,0.1,0,10,Partially cloudy,partly-cloudy-day,"UUMO,UUWW,UUEE,27515599999,27518599999"
"Moscow,Russia",2023-01-05T17:00:00,-7.8,-14.7,-10.8,79.03,0,0,,0,24.8,23,18,37,1004,62.8,10,0,0,0,10,Partially cloudy,partly-cloudy-night,"UUMO,UUWW,UUEE,27515599999,27518599999"
